video_id,canal,handle,titulo,publicado_em,url,visto_em
i_wn3VOKxpw,Apresenta_me,@apresentame,Ordem de Serviço nos Tickets | No Apresenta.me,2026-09-07T12:00:16+00:00,https://www.youtube.com/watch?v=i_wn3VOKxpw,2026-09-07T20:45:51+00:00
6knFHsP7usQ,Jetimob,@jetimob,JetPage | CRM Imobiliário Jetimob,2026-09-07T03:00:00+00:00,https://www.youtube.com/watch?v=6knFHsP7usQ,2026-09-07T20:45:51+00:00
9NVxZL4KWDo,Jetimob,@jetimob,Conheça a nova marca da Jetimob,2026-09-04T15:00:09+00:00,https://www.youtube.com/watch?v=9NVxZL4KWDo,2026-09-07T20:45:51+00:00
EDcqmXvoxeY,Apresenta_me,@apresentame,Aprovações de Alteração no Imóvel | No Apresenta.me,2026-09-04T11:00:08+00:00,https://www.youtube.com/watch?v=EDcqmXvoxeY,2026-09-07T20:45:51+00:00
DqPXXFtNZoE,Apresenta_me,@apresentame,Fechamento Financeiro | No Apresenta.me,2026-09-03T13:00:32+00:00,https://www.youtube.com/watch?v=DqPXXFtNZoE,2026-09-07T20:45:51+00:00
geQ0Fgpc88s,Superlógica Imobi,@superlogicaimobi,Acabe com os improvisos na sua imobiliária,2026-09-03T12:00:31+00:00,https://www.youtube.com/watch?v=geQ0Fgpc88s,2026-09-07T20:45:51+00:00
zHbPHwx61x0,Apresenta_me,@apresentame,Telefonia Integrada ao Sistema | No Apresenta.me,2026-09-02T12:00:08+00:00,https://www.youtube.com/watch?v=zHbPHwx61x0,2026-09-07T20:45:51+00:00
M7yIwT41yIs,Apresenta_me,@apresentame,Claviculário de Chaves | No Apresenta.me,2026-09-01T11:00:17+00:00,https://www.youtube.com/watch?v=M7yIwT41yIs,2026-09-07T20:45:51+00:00
0oWwbEiaGv0,Apresenta_me,@apresentame,Solicitação de Backup dos Dados | No Apresenta.me,2026-08-31T13:30:23+00:00,https://www.youtube.com/watch?v=0oWwbEiaGv0,2026-09-07T20:45:51+00:00
Amm_A1ZDkNs,Jetimob,@jetimob,Leads | CRM Imobiliário Jetimob,2026-08-31T03:00:27+00:00,https://www.youtube.com/watch?v=Amm_A1ZDkNs,2026-09-07T20:45:51+00:00
gGtvBfcguvw,Superlógica Imobi,@superlogicaimobi,Dia do Corretor de Imóveis: o que faz ele querer ficar em uma imobiliária?,2026-08-27T14:01:12+00:00,https://www.youtube.com/watch?v=gGtvBfcguvw,2026-09-07T20:45:51+00:00
SWeaRCzeWfo,Apresenta_me,@apresentame,Busca Inteligente no Cadastro de Pessoas | No Apresenta.me,2026-08-27T11:00:19+00:00,https://www.youtube.com/watch?v=SWeaRCzeWfo,2026-09-07T20:45:51+00:00
fdK3ncWgwQY,Universal Software,@UniversalSoftware,Porque a reforma tributária muda a forma de captar e alugar imóveis | Universal Insights,2026-08-26T17:58:49+00:00,https://www.youtube.com/watch?v=fdK3ncWgwQY,2026-09-07T20:45:51+00:00
vKVqzoWID1o,Jetimob,@jetimob,Contrato de aluguel por temporada: como fazer + modelo grátis,2026-08-26T16:27:25+00:00,https://www.youtube.com/watch?v=vKVqzoWID1o,2026-09-07T20:45:51+00:00
M47NCg8JS4U,Superlógica Imobi,@superlogicaimobi,G20 Imobi - 2026/2027,2026-08-26T14:25:37+00:00,https://www.youtube.com/watch?v=M47NCg8JS4U,2026-09-07T20:45:51+00:00
lINncB2QRxU,Apresenta_me,@apresentame,Como Criar Automações nos Tickets | Sistema Apresenta.me,2026-08-26T13:00:18+00:00,https://www.youtube.com/watch?v=lINncB2QRxU,2026-09-07T20:45:51+00:00
klMBDDu3Ymk,Apresenta_me,@apresentame,Como Aprovar Imóveis no Sistema Apresenta.me | Tutorial,2026-08-25T19:13:51+00:00,https://www.youtube.com/watch?v=klMBDDu3Ymk,2026-09-07T20:45:51+00:00
nWz9NgppoAQ,Jetimob,@jetimob,Configurações iniciais | CRM Imobiliário Jetimob,2026-08-24T03:00:07+00:00,https://www.youtube.com/watch?v=nWz9NgppoAQ,2026-09-07T20:45:51+00:00
qIVkZDsOGUY,Jetimob,@jetimob,Como construir um funil de vendas para a sua imobiliária,2026-08-21T03:00:36+00:00,https://www.youtube.com/watch?v=qIVkZDsOGUY,2026-09-07T20:45:51+00:00
lxBKvsR4jn4,Universal Software,@UniversalSoftware,Captar imóveis sem estratégia é dar um tiro no escuro!,2026-08-20T20:31:30+00:00,https://www.youtube.com/watch?v=lxBKvsR4jn4,2026-09-07T20:45:51+00:00
5vYUij9iRAY,Jetimob,@jetimob,Como calcular o potencial de vendas da sua imobiliária,2026-08-20T03:00:33+00:00,https://www.youtube.com/watch?v=5vYUij9iRAY,2026-09-07T20:45:51+00:00
